
Name : l7l7l7l7l7 giao dịch với test22 || Time : 2022-05-04 13:26:04 || Item chuyển : [ 967 Số lượng : 84;  596 Số lượng : 42; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : test22 giao dịch với l7l7l7l7l7 || Time : 2022-05-04 13:35:43 || Item chuyển : [967 Số lượng : 52;596 Số lượng : 42;772 Số lượng : 12;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với test22 || Time : 2022-05-04 13:35:43 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[967 Số lượng : 52;596 Số lượng : 42;772 Số lượng : 12;] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với laviem || Time : 2022-05-04 14:08:57 || Item chuyển : [862 Số lượng : 2584;] Xu giao dịch :0 || Item Nhận :[ 814 Số lượng : 1; ] Xu nhận :0

Name : laviem giao dịch với l7l7l7l7l7 || Time : 2022-05-04 14:08:57 || Item chuyển : [ 814 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[862 Số lượng : 2584;] Xu nhận :0

Name : anhyeueml giao dịch với laviem || Time : 2022-05-04 14:09:33 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1; ] Xu nhận :0

Name : laviem giao dịch với anhyeueml || Time : 2022-05-04 14:09:33 || Item chuyển : [ 384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1;  384 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : laviem giao dịch với anhyeueml || Time : 2022-05-04 14:10:07 || Item chuyển : [384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : anhyeueml giao dịch với laviem || Time : 2022-05-04 14:10:07 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;384 Số lượng : 1;] Xu nhận :0

Name : anhyeueml giao dịch với bochapcaserver || Time : 2022-05-04 14:11:34 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 584 Số lượng : 1; ] Xu nhận :0

Name : bochapcaserver giao dịch với anhyeueml || Time : 2022-05-04 14:11:34 || Item chuyển : [ 584 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : anhyeueml giao dịch với bochapcaserver || Time : 2022-05-04 14:14:24 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 874 Số lượng : 20000; ] Xu nhận :0

Name : bochapcaserver giao dịch với anhyeueml || Time : 2022-05-04 14:14:24 || Item chuyển : [ 874 Số lượng : 20000; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : tuthanvutru giao dịch với tanthanthienha || Time : 2022-05-04 15:07:05 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 576 Số lượng : 69;  578 Số lượng : 64;  577 Số lượng : 64;  575 Số lượng : 65;  573 Số lượng : 74;  574 Số lượng : 73; ] Xu nhận :0

Name : tanthanthienha giao dịch với tuthanvutru || Time : 2022-05-04 15:07:05 || Item chuyển : [ 576 Số lượng : 69;  578 Số lượng : 64;  577 Số lượng : 64;  575 Số lượng : 65;  573 Số lượng : 74;  574 Số lượng : 73; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : tuthanvutru giao dịch với giamsattinhhe || Time : 2022-05-04 15:07:46 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 573 Số lượng : 110;  780 Số lượng : 40;  574 Số lượng : 114;  577 Số lượng : 113;  575 Số lượng : 109;  578 Số lượng : 97;  576 Số lượng : 97; ] Xu nhận :0

Name : giamsattinhhe giao dịch với tuthanvutru || Time : 2022-05-04 15:07:46 || Item chuyển : [ 573 Số lượng : 110;  780 Số lượng : 40;  574 Số lượng : 114;  577 Số lượng : 113;  575 Số lượng : 109;  578 Số lượng : 97;  576 Số lượng : 97; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : trummom giao dịch với l7l7l7l7l7 || Time : 2022-05-04 15:51:00 || Item chuyển : [486 Số lượng : 1;442 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với trummom || Time : 2022-05-04 15:51:00 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[486 Số lượng : 1;442 Số lượng : 1;] Xu nhận :0

Name : trummom giao dịch với l7l7l7l7l7 || Time : 2022-05-04 15:53:45 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 743 Số lượng : 400; ] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với trummom || Time : 2022-05-04 15:53:45 || Item chuyển : [ 743 Số lượng : 400; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : tanthanthienha giao dịch với giamsattinhhe || Time : 2022-05-04 16:34:00 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 578 Số lượng : 53;  577 Số lượng : 37;  574 Số lượng : 43;  575 Số lượng : 40;  573 Số lượng : 32;  576 Số lượng : 42;  780 Số lượng : 19; ] Xu nhận :0

Name : giamsattinhhe giao dịch với tanthanthienha || Time : 2022-05-04 16:34:00 || Item chuyển : [ 578 Số lượng : 53;  577 Số lượng : 37;  574 Số lượng : 43;  575 Số lượng : 40;  573 Số lượng : 32;  576 Số lượng : 42;  780 Số lượng : 19; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : tanthanthienha giao dịch với tuthanvutru || Time : 2022-05-04 16:34:25 || Item chuyển : [545 Số lượng : 1;545 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[ 575 Số lượng : 45;  780 Số lượng : 168;  576 Số lượng : 146;  577 Số lượng : 162;  574 Số lượng : 130;  573 Số lượng : 81;  578 Số lượng : 141; ] Xu nhận :0

Name : tuthanvutru giao dịch với tanthanthienha || Time : 2022-05-04 16:34:25 || Item chuyển : [ 575 Số lượng : 45;  780 Số lượng : 168;  576 Số lượng : 146;  577 Số lượng : 162;  574 Số lượng : 130;  573 Số lượng : 81;  578 Số lượng : 141; ] Xu giao dịch :0 || Item Nhận :[545 Số lượng : 1;545 Số lượng : 1;] Xu nhận :0

Name : kunai01 giao dịch với tanthanthienha || Time : 2022-05-04 16:41:03 || Item chuyển : [907 Số lượng : 53;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

