
 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 66 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 65 và 1|| Thời gian tách : 2022-05-23 13:35:54

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 65 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 64 và 1|| Thời gian tách : 2022-05-23 13:35:55

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 64 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 63 và 1|| Thời gian tách : 2022-05-23 13:35:56

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-05-23 13:35:58

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 61 và 1|| Thời gian tách : 2022-05-23 13:35:59

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 61 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 60 và 1|| Thời gian tách : 2022-05-23 13:36:02

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 60 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 59 và 1|| Thời gian tách : 2022-05-23 13:36:04

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-05-23 13:36:06

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 58 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 57 và 1|| Thời gian tách : 2022-05-23 13:36:09

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 57 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 56 và 1|| Thời gian tách : 2022-05-23 13:36:10

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 56 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 55 và 1|| Thời gian tách : 2022-05-23 13:36:12

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 54 và 1|| Thời gian tách : 2022-05-23 13:36:19

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-05-23 13:36:20

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 621 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 620 và 1|| Thời gian tách : 2022-05-23 17:18:27

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 620 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 619 và 1|| Thời gian tách : 2022-05-23 17:18:32

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 619 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 618 và 1|| Thời gian tách : 2022-05-23 17:18:37

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 618 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 617 và 1|| Thời gian tách : 2022-05-23 17:18:41

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 617 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 616 và 1|| Thời gian tách : 2022-05-23 17:18:44

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 616 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 615 và 1|| Thời gian tách : 2022-05-23 17:18:49

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 615 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 614 và 1|| Thời gian tách : 2022-05-23 17:18:54

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 614 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 613 và 1|| Thời gian tách : 2022-05-23 17:18:58

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 613 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 612 và 1|| Thời gian tách : 2022-05-23 17:19:02

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 612 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 611 và 1|| Thời gian tách : 2022-05-23 17:19:06

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 611 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 610 và 1|| Thời gian tách : 2022-05-23 17:19:10

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 610 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 609 và 1|| Thời gian tách : 2022-05-23 17:19:15

