
 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 05:45:59

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 6999 || Số lượng tách: 999 || Số lượng vật phẩm sau khi tách: 6000 và 999|| Thời gian tách : 2022-05-19 06:03:16

 Name : katakurj đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 2587 || Số lượng tách: 999 || Số lượng vật phẩm sau khi tách: 1588 và 999|| Thời gian tách : 2022-05-19 06:04:25

 Name : katakurj đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 190 || Số lượng vật phẩm sau khi tách: 10 và 190|| Thời gian tách : 2022-05-19 06:09:37

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 06:16:39

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 221 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 21 và 200|| Thời gian tách : 2022-05-19 06:24:31

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 160 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 140 và 20|| Thời gian tách : 2022-05-19 06:30:37

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 15 và 5|| Thời gian tách : 2022-05-19 06:30:55

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-19 06:31:01

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-19 06:31:06

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-19 06:31:12

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-19 06:31:18

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-19 06:31:23

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-19 06:31:28

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-19 06:31:37

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-19 06:31:42

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-19 06:31:47

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-19 06:31:52

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-19 06:31:57

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-19 06:32:03

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-19 06:32:09

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 06:32:15

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-19 06:32:22

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-19 06:32:30

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-19 06:32:35

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 06:32:41

