
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 07:06:48

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 07:06:50

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-02 07:07:48

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-02 07:07:51

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 07:07:53

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 07:07:55

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 07:07:58

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 07:08:00

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6893 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 5893 và 1000|| Thời gian tách : 2022-06-02 07:17:38

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 3888 || Số lượng tách: 555 || Số lượng vật phẩm sau khi tách: 3333 và 555|| Thời gian tách : 2022-06-02 07:23:02

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 3333 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 3330 và 3|| Thời gian tách : 2022-06-02 07:24:09

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-06-02 07:41:00

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 33 và 10|| Thời gian tách : 2022-06-02 08:02:30

 Name : nohope đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 90 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 85 và 5|| Thời gian tách : 2022-06-02 09:44:33

 Name : nohope đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 85 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 80 và 5|| Thời gian tách : 2022-06-02 09:44:39

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 175 || Số lượng tách: 45 || Số lượng vật phẩm sau khi tách: 130 và 45|| Thời gian tách : 2022-06-02 10:23:59

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 40 và 5|| Thời gian tách : 2022-06-02 10:35:03

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 40 và 5|| Thời gian tách : 2022-06-02 10:45:58

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-02 10:56:32

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 135 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 120 và 15|| Thời gian tách : 2022-06-02 11:03:43

 Name : hahahah đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 313 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 13 và 300|| Thời gian tách : 2022-06-02 11:17:30

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 603 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 600 và 3|| Thời gian tách : 2022-06-02 11:17:42

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 205 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 200 và 5|| Thời gian tách : 2022-06-02 11:17:49

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4352 || Số lượng tách: 2400 || Số lượng vật phẩm sau khi tách: 1952 và 2400|| Thời gian tách : 2022-06-02 11:39:40

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 653 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 603 và 50|| Thời gian tách : 2022-06-02 11:44:17

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 603 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 553 và 50|| Thời gian tách : 2022-06-02 11:44:22

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 553 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 503 và 50|| Thời gian tách : 2022-06-02 11:44:27

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 503 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 453 và 50|| Thời gian tách : 2022-06-02 11:44:33

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 453 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 403 và 50|| Thời gian tách : 2022-06-02 11:44:37

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 403 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 353 và 50|| Thời gian tách : 2022-06-02 11:44:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 303 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 253 và 50|| Thời gian tách : 2022-06-02 11:50:25

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 253 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 203 và 50|| Thời gian tách : 2022-06-02 11:50:30

