
 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 194 và 1|| Thời gian tách : 2022-05-18 15:17:20

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 193 và 1|| Thời gian tách : 2022-05-18 15:17:21

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 193 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 192 và 1|| Thời gian tách : 2022-05-18 15:17:23

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 192 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 191 và 1|| Thời gian tách : 2022-05-18 15:17:25

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 191 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 190 và 1|| Thời gian tách : 2022-05-18 15:17:26

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 190 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 189 và 1|| Thời gian tách : 2022-05-18 15:17:28

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 189 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 188 và 1|| Thời gian tách : 2022-05-18 15:17:29

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 188 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 187 và 1|| Thời gian tách : 2022-05-18 15:17:30

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 187 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 186 và 1|| Thời gian tách : 2022-05-18 15:17:32

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 186 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 185 và 1|| Thời gian tách : 2022-05-18 15:17:33

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 185 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 184 và 1|| Thời gian tách : 2022-05-18 15:17:34

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 184 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 183 và 1|| Thời gian tách : 2022-05-18 15:17:36

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 183 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 182 và 1|| Thời gian tách : 2022-05-18 15:17:37

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 182 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 181 và 1|| Thời gian tách : 2022-05-18 15:17:48

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 181 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 180 và 1|| Thời gian tách : 2022-05-18 15:17:49

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 180 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 179 và 1|| Thời gian tách : 2022-05-18 15:17:50

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 179 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 178 và 1|| Thời gian tách : 2022-05-18 15:17:52

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 178 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 177 và 1|| Thời gian tách : 2022-05-18 15:17:53

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-18 15:32:10

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-18 15:32:13

