
 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 477 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 476 và 1|| Thời gian tách : 2022-08-09 01:02:30

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-09 01:02:30

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 476 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 475 và 1|| Thời gian tách : 2022-08-09 01:02:32

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-09 01:02:32

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 475 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 474 và 1|| Thời gian tách : 2022-08-09 01:02:34

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 474 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 473 và 1|| Thời gian tách : 2022-08-09 01:02:35

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 473 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 472 và 1|| Thời gian tách : 2022-08-09 01:02:37

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 472 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 471 và 1|| Thời gian tách : 2022-08-09 01:02:39

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 471 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 470 và 1|| Thời gian tách : 2022-08-09 01:02:41

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 470 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 469 và 1|| Thời gian tách : 2022-08-09 01:02:43

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 469 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 468 và 1|| Thời gian tách : 2022-08-09 01:02:45

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 468 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 467 và 1|| Thời gian tách : 2022-08-09 01:02:47

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 467 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 466 và 1|| Thời gian tách : 2022-08-09 01:02:49

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 466 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 465 và 1|| Thời gian tách : 2022-08-09 01:02:54

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 202 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 201 và 1|| Thời gian tách : 2022-08-09 01:03:20

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 201 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 200 và 1|| Thời gian tách : 2022-08-09 01:03:22

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 199 và 1|| Thời gian tách : 2022-08-09 01:03:23

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 199 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 198 và 1|| Thời gian tách : 2022-08-09 01:03:25

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 198 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 197 và 1|| Thời gian tách : 2022-08-09 01:03:27

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 197 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 196 và 1|| Thời gian tách : 2022-08-09 01:03:29

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 196 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 195 và 1|| Thời gian tách : 2022-08-09 01:03:31

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 194 và 1|| Thời gian tách : 2022-08-09 01:03:33

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 193 và 1|| Thời gian tách : 2022-08-09 01:03:35

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 193 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 192 và 1|| Thời gian tách : 2022-08-09 01:03:36

