
 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 639 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 638 và 1|| Thời gian tách : 2022-06-11 01:57:58

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 638 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 637 và 1|| Thời gian tách : 2022-06-11 01:58:00

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 637 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 636 và 1|| Thời gian tách : 2022-06-11 01:58:03

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 636 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 635 và 1|| Thời gian tách : 2022-06-11 01:58:08

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 635 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 634 và 1|| Thời gian tách : 2022-06-11 01:58:11

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 634 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 633 và 1|| Thời gian tách : 2022-06-11 02:00:17

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 633 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 632 và 1|| Thời gian tách : 2022-06-11 02:00:19

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 632 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 631 và 1|| Thời gian tách : 2022-06-11 02:00:22

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 631 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 630 và 1|| Thời gian tách : 2022-06-11 02:00:26

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 630 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 629 và 1|| Thời gian tách : 2022-06-11 02:00:28

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 629 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 628 và 1|| Thời gian tách : 2022-06-11 02:00:31

