
 Name : boss6789 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 827 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 727 và 100|| Thời gian tách : 2022-03-25 20:14:25

 Name : boss6789 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 783 || Số lượng tách: 111 || Số lượng vật phẩm sau khi tách: 672 và 111|| Thời gian tách : 2022-03-25 20:14:36

 Name : kotex50kk đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1962 || Số lượng tách: 962 || Số lượng vật phẩm sau khi tách: 1000 và 962|| Thời gian tách : 2022-03-25 20:39:50

 Name : quoaytay24h đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 6869 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6769 và 100|| Thời gian tách : 2022-03-25 20:43:15

 Name : x4nekk đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-25 21:14:33

 Name : huongly đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 880 || Số lượng tách: 80 || Số lượng vật phẩm sau khi tách: 800 và 80|| Thời gian tách : 2022-03-25 21:21:33

 Name : huongly đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 837 || Số lượng tách: 37 || Số lượng vật phẩm sau khi tách: 800 và 37|| Thời gian tách : 2022-03-25 21:22:08

 Name : s2vip2s đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 594 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 294 và 300|| Thời gian tách : 2022-03-25 22:04:36

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 900 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 400 và 500|| Thời gian tách : 2022-03-25 22:07:18

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7330 || Số lượng tách: 330 || Số lượng vật phẩm sau khi tách: 7000 và 330|| Thời gian tách : 2022-03-25 22:10:19

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7000 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 6500 và 500|| Thời gian tách : 2022-03-25 22:12:21

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 6500 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 6000 và 500|| Thời gian tách : 2022-03-25 22:13:21

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 6008 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 5808 và 200|| Thời gian tách : 2022-03-25 22:13:28

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5808 || Số lượng tách: 208 || Số lượng vật phẩm sau khi tách: 5600 và 208|| Thời gian tách : 2022-03-25 22:14:59

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5600 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 5400 và 200|| Thời gian tách : 2022-03-25 22:15:16

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5400 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 5000 và 400|| Thời gian tách : 2022-03-25 22:16:50

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 6000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 5000 và 1000|| Thời gian tách : 2022-03-25 22:17:41

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5000 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 4700 và 300|| Thời gian tách : 2022-03-25 22:18:20

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5755 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 5255 và 500|| Thời gian tách : 2022-03-25 22:20:05

 Name : ADMIN đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 9985 và 15|| Thời gian tách : 2022-03-25 22:20:21

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5514 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 5014 và 500|| Thời gian tách : 2022-03-25 22:23:13

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5014 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 4714 và 300|| Thời gian tách : 2022-03-25 22:26:40

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4811 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4311 và 500|| Thời gian tách : 2022-03-25 22:29:01

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4311 || Số lượng tách: 311 || Số lượng vật phẩm sau khi tách: 4000 và 311|| Thời gian tách : 2022-03-25 22:32:22

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4000 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 3500 và 500|| Thời gian tách : 2022-03-25 22:34:24

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3500 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 3000 và 500|| Thời gian tách : 2022-03-25 22:40:37

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3038 || Số lượng tách: 38 || Số lượng vật phẩm sau khi tách: 3000 và 38|| Thời gian tách : 2022-03-25 22:42:34

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3017 || Số lượng tách: 37 || Số lượng vật phẩm sau khi tách: 2980 và 37|| Thời gian tách : 2022-03-25 22:46:06

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2980 || Số lượng tách: 80 || Số lượng vật phẩm sau khi tách: 2900 và 80|| Thời gian tách : 2022-03-25 22:46:35

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2800 và 100|| Thời gian tách : 2022-03-25 22:46:52

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2800 và 100|| Thời gian tách : 2022-03-25 22:46:58

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2800 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 2500 và 300|| Thời gian tách : 2022-03-25 22:49:51

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2300 và 200|| Thời gian tách : 2022-03-25 22:51:16

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2300 || Số lượng tách: 800 || Số lượng vật phẩm sau khi tách: 1500 và 800|| Thời gian tách : 2022-03-25 22:52:52

 Name : nsolunso đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1951 || Số lượng tách: 451 || Số lượng vật phẩm sau khi tách: 1500 và 451|| Thời gian tách : 2022-03-25 22:53:27

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9999 và 1|| Thời gian tách : 2022-03-25 23:06:22

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9999 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9998 và 1|| Thời gian tách : 2022-03-25 23:06:25

