
 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9895 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9894 và 1|| Thời gian tách : 2022-03-28 17:46:38

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9894 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9893 và 1|| Thời gian tách : 2022-03-28 17:46:40

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9893 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9892 và 1|| Thời gian tách : 2022-03-28 17:46:41

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9892 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9891 và 1|| Thời gian tách : 2022-03-28 17:46:42

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9891 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9890 và 1|| Thời gian tách : 2022-03-28 17:46:44

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9890 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9889 và 1|| Thời gian tách : 2022-03-28 17:46:46

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9889 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9888 và 1|| Thời gian tách : 2022-03-28 17:46:47

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9888 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9887 và 1|| Thời gian tách : 2022-03-28 17:46:49

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9887 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9886 và 1|| Thời gian tách : 2022-03-28 17:46:50

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9886 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9885 và 1|| Thời gian tách : 2022-03-28 17:46:57

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9885 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9884 và 1|| Thời gian tách : 2022-03-28 17:46:58

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9884 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9883 và 1|| Thời gian tách : 2022-03-28 17:47:00

