
 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14798 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 14298 và 500|| Thời gian tách : 2022-06-03 11:51:23

 Name : vietnam đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-03 12:31:44

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9138 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 8838 và 300|| Thời gian tách : 2022-06-03 14:03:08

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8838 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 8538 và 300|| Thời gian tách : 2022-06-03 14:03:13

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 3059 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 2059 và 1000|| Thời gian tách : 2022-06-03 14:07:48

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 2059 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 1059 và 1000|| Thời gian tách : 2022-06-03 14:14:27

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8547 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 8047 và 500|| Thời gian tách : 2022-06-03 14:14:33

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 130 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 129 và 1|| Thời gian tách : 2022-06-03 16:07:57

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 130 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 120 và 10|| Thời gian tách : 2022-06-03 16:08:12

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1934 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 434 và 1500|| Thời gian tách : 2022-06-03 16:20:50

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 624 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 623 và 1|| Thời gian tách : 2022-06-03 17:01:38

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 623 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 622 và 1|| Thời gian tách : 2022-06-03 17:01:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 622 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 621 và 1|| Thời gian tách : 2022-06-03 17:01:46

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 621 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 620 và 1|| Thời gian tách : 2022-06-03 17:01:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 620 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 619 và 1|| Thời gian tách : 2022-06-03 17:01:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 619 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 618 và 1|| Thời gian tách : 2022-06-03 17:01:56

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 618 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 617 và 1|| Thời gian tách : 2022-06-03 17:02:00

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 617 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 616 và 1|| Thời gian tách : 2022-06-03 17:02:04

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 616 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 615 và 1|| Thời gian tách : 2022-06-03 17:02:08

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 615 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 614 và 1|| Thời gian tách : 2022-06-03 17:02:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 614 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 613 và 1|| Thời gian tách : 2022-06-03 17:02:17

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 613 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 612 và 1|| Thời gian tách : 2022-06-03 17:02:21

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 612 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 611 và 1|| Thời gian tách : 2022-06-03 17:02:27

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 611 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 610 và 1|| Thời gian tách : 2022-06-03 17:02:31

