
 Name : cavoicon đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-23 00:05:33
 Name : kagawa đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 12000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 11000 và 1000|| Thời gian tách : 2022-03-23 21:40:06

 Name : taynan đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-23 22:04:37

 Name : sherktop1 đã tách vật phẩm || Vật phẩm tách: 738 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-23 22:09:33

 Name : zero11 đã tách vật phẩm || Vật phẩm tách: 765 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-23 22:35:39

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4115 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4015 và 100|| Thời gian tách : 2022-03-23 22:39:00

 Name : bemy3tui đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-23 22:39:03

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4044 || Số lượng tách: 44 || Số lượng vật phẩm sau khi tách: 4000 và 44|| Thời gian tách : 2022-03-23 22:39:37

 Name : nomemotnangdau đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 1000 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 500 và 500|| Thời gian tách : 2022-03-23 23:01:39

 Name : linhne đã tách vật phẩm || Vật phẩm tách: 733 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-03-23 23:45:19
