
 Name : badbee đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2212 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 1712 và 500|| Thời gian tách : 2022-03-24 12:49:36

 Name : badbee đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1712 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 1212 và 500|| Thời gian tách : 2022-03-24 12:49:50

 Name : nhincaidb đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 11 và 3|| Thời gian tách : 2022-03-24 12:52:02

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-24 13:04:30

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 223 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-03-24 13:04:42

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 224 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-03-24 13:05:01

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 225 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-03-24 13:05:09

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 226 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-03-24 13:05:31

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 228 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-24 13:05:40

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 227 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-03-24 13:05:50

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9778 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 7778 và 2000|| Thời gian tách : 2022-03-24 13:07:10

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-24 13:27:55

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-03-24 13:56:32

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 223 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-03-24 13:56:36

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 224 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-03-24 13:56:57

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 225 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-03-24 13:57:01

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 226 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-03-24 13:57:04

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 227 || Số lượng vật phẩm ban đầu 57 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 56 và 1|| Thời gian tách : 2022-03-24 13:57:06

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 228 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-03-24 13:57:09

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-03-24 13:57:13

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 224 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-03-24 13:57:15

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 225 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-03-24 13:57:16

