
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 196 || Số lượng tách: 33 || Số lượng vật phẩm sau khi tách: 163 và 33|| Thời gian tách : 2022-05-31 13:16:27

 Name : trum9x đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-31 13:30:02

 Name : quanvuong đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 26 và 1|| Thời gian tách : 2022-05-31 13:37:44

 Name : quanvuong đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-05-31 13:38:26

 Name : quanvuong đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-31 13:38:42

 Name : trum9x đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-31 13:53:44

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 34 và 4|| Thời gian tách : 2022-05-31 13:56:51

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 97 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 96 và 1|| Thời gian tách : 2022-05-31 14:07:55

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 96 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 86 và 10|| Thời gian tách : 2022-05-31 14:07:59

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 641 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 591 và 50|| Thời gian tách : 2022-05-31 14:12:06

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 591 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 541 và 50|| Thời gian tách : 2022-05-31 14:13:24

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19 và 1|| Thời gian tách : 2022-05-31 14:27:45

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-05-31 14:27:47

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-05-31 14:27:51

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-31 14:27:54

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-31 14:27:58

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-31 14:28:01

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-31 14:28:14

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-31 14:28:16

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-31 14:28:19

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-31 14:28:22

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-31 14:28:26

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-31 14:28:29

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 921 || Số lượng tách: 900 || Số lượng vật phẩm sau khi tách: 21 và 900|| Thời gian tách : 2022-05-31 14:42:51

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5509 || Số lượng tách: 130 || Số lượng vật phẩm sau khi tách: 5379 và 130|| Thời gian tách : 2022-05-31 14:54:03

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-31 14:54:53

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-31 14:54:54

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-31 14:54:56

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-31 14:54:58

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-31 14:55:02

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-31 14:55:04

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-31 14:55:06

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-31 14:55:11

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-31 14:55:13

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-31 14:55:15

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-31 14:55:23

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 38 và 1|| Thời gian tách : 2022-05-31 14:58:09

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-05-31 14:58:11

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-05-31 14:58:13

