
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 882 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 732 và 150|| Thời gian tách : 2022-06-01 05:10:15
 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:22:20

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:22:24

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:22:28

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:22:34

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:22:39

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:22:44

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:22:51

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:22:56

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:23:00

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:23:06

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-06-01 08:23:11

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:23:15

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:23:23

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:23:28

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 08:23:34

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:23:42

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:23:46

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:23:58

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 09:13:05

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 649 || Số lượng tách: 576 || Số lượng vật phẩm sau khi tách: 73 và 576|| Thời gian tách : 2022-06-01 09:41:16

 Name : cung7x đã tách vật phẩm || Vật phẩm tách: 976 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 10:01:30

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 399 || Số lượng tách: 199 || Số lượng vật phẩm sau khi tách: 200 và 199|| Thời gian tách : 2022-06-01 10:07:36

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 389 || Số lượng tách: 234 || Số lượng vật phẩm sau khi tách: 155 và 234|| Thời gian tách : 2022-06-01 10:19:26

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-06-01 10:29:44

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-06-01 10:29:46

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-06-01 10:29:48

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-01 10:29:49

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-01 10:29:56

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 10:30:05

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-01 10:30:07

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 10:30:09

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 299 || Số lượng tách: 99 || Số lượng vật phẩm sau khi tách: 200 và 99|| Thời gian tách : 2022-06-01 11:06:40

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 299 || Số lượng tách: 99 || Số lượng vật phẩm sau khi tách: 200 và 99|| Thời gian tách : 2022-06-01 11:07:47

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 299 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 99 và 200|| Thời gian tách : 2022-06-01 11:08:20

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 376 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 375 và 1|| Thời gian tách : 2022-06-01 11:08:36

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 375 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 374 và 1|| Thời gian tách : 2022-06-01 11:08:41

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 374 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 373 và 1|| Thời gian tách : 2022-06-01 11:08:45

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 373 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 372 và 1|| Thời gian tách : 2022-06-01 11:08:54

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 372 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 371 và 1|| Thời gian tách : 2022-06-01 11:08:58

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 371 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 370 và 1|| Thời gian tách : 2022-06-01 11:09:04

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 370 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 369 và 1|| Thời gian tách : 2022-06-01 11:09:08

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 369 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 368 và 1|| Thời gian tách : 2022-06-01 11:09:13

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 368 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 367 và 1|| Thời gian tách : 2022-06-01 11:09:17

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 367 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 366 và 1|| Thời gian tách : 2022-06-01 11:09:21

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 366 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 365 và 1|| Thời gian tách : 2022-06-01 11:09:26

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 365 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 364 và 1|| Thời gian tách : 2022-06-01 11:09:38

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 364 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 363 và 1|| Thời gian tách : 2022-06-01 11:09:43

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 363 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 362 và 1|| Thời gian tách : 2022-06-01 11:09:47

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 362 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 361 và 1|| Thời gian tách : 2022-06-01 11:09:51

