
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15
 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3700 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3650 và 50|| Thời gian tách : 2022-04-12 20:05:03

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3650 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3600 và 50|| Thời gian tách : 2022-04-12 20:05:05

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3600 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3550 và 50|| Thời gian tách : 2022-04-12 20:05:07

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3550 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3500 và 50|| Thời gian tách : 2022-04-12 20:05:09

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3450 và 50|| Thời gian tách : 2022-04-12 20:05:11

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3450 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3400 và 50|| Thời gian tách : 2022-04-12 20:05:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3400 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3350 và 50|| Thời gian tách : 2022-04-12 20:05:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3350 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3300 và 50|| Thời gian tách : 2022-04-12 20:05:18

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3300 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3250 và 50|| Thời gian tách : 2022-04-12 20:05:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3250 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3200 và 50|| Thời gian tách : 2022-04-12 20:05:22

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3150 và 50|| Thời gian tách : 2022-04-12 20:05:24

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3150 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3100 và 50|| Thời gian tách : 2022-04-12 20:05:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3050 và 50|| Thời gian tách : 2022-04-12 20:05:28

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3050 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3000 và 50|| Thời gian tách : 2022-04-12 20:05:30

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3000 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2950 và 50|| Thời gian tách : 2022-04-12 20:05:32

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2950 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2900 và 50|| Thời gian tách : 2022-04-12 20:05:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2900 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2850 và 50|| Thời gian tách : 2022-04-12 20:05:55

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2850 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2800 và 50|| Thời gian tách : 2022-04-12 20:05:56

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2800 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2750 và 50|| Thời gian tách : 2022-04-12 20:05:58

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2750 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2700 và 50|| Thời gian tách : 2022-04-12 20:06:00

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2700 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2650 và 50|| Thời gian tách : 2022-04-12 20:06:02

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2650 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2600 và 50|| Thời gian tách : 2022-04-12 20:06:06

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2600 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2550 và 50|| Thời gian tách : 2022-04-12 20:06:07

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2550 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2500 và 50|| Thời gian tách : 2022-04-12 20:06:09

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2450 và 50|| Thời gian tách : 2022-04-12 20:06:10

